GREETINGS,1,왕기초 생존 (반말/감탄사),7,20
GREETINGS,2,친구 사귀기 (일상 회화),7,20
GREETINGS,3,예의 갖추기 (존댓말 입문),7,20
GREETINGS,4,상황별 필수 표현 (격식),7,20
GREETINGS,5,한국 문화 인사 (식사/귀가),7,20
GREETINGS,6,비즈니스 & 극존칭 (고급),7,20
NUMBERS,1,하나 둘 셋! 기초 숫자 (고유어),7,20
NUMBERS,2,일 이 삼! 번호와 날짜 (한자어),7,20
NUMBERS,3,몇 시예요? 시간과 요일,7,20
NUMBERS,4,개 명 병! 단위 명사 익히기,7,20
NUMBERS,5,얼마예요? 쇼핑과 화폐 단위,7,20
NUMBERS,6,실전 계산 (할인과 더치페이),7,20

SURVIVAL,1,긴급 구조 요청 (경찰/119/도와줘),7,20
SURVIVAL,2,화장실 (가장 급한 생리현상),7,20
SURVIVAL,3,디지털 생존 (와이파이/데이터 없으면 아무것도 못 함),7,20
SURVIVAL,4,언어 장벽 방어 (한국어 못해요/파파고/영어),7,20
SURVIVAL,5,군중 속 생존 (지하철/길거리에서 "잠시만요/지나갈게요"),7,20
SURVIVAL,6,쓰레기 처리 (한국은 쓰레기통 찾기가 어려움),7,20
SURVIVAL,7,존재/소유 묻기 (있어요?/없어요? - 만능 동사),7,20

FOOD,1,한국인의 기본 밥상 (밥/반찬/김치/비빔밥),7,20
FOOD,2,맛 표현의 세계 (맛있어요/매워요/시원해요/느끼해요),7,20
FOOD,3,길거리 분식 (떡볶이/순대/붕어빵/김밥),7,20
FOOD,4,고기 파티 (삼겹살/갈비/쌈 싸먹기),7,20
FOOD,5,국물 요리 (국밥/찌개/해장국),7,20
FOOD,6,면 요리 천국 (라면/짜장면/냉면),7,20
FOOD,7,야식과 술자리 (치킨/족발/소주/맥주),7,20

ORDERING,1,입장과 자리 잡기,7,20
ORDERING,2,메뉴 고민과 추천,7,20
ORDERING,3,주문 실전 (식당),7,20
ORDERING,4,카페 주문 (커스텀),7,20
ORDERING,5,드시고 가세요? (포장/매장),7,20
ORDERING,6,옵션과 요청 (고수 빼주세요/소스 따로),7,20
ORDERING,7,키오스크/포장 (카드/현금영수증/N빵),7,20
ORDERING,8,계산과 더치페이 (물/반찬/리필),7,20

TRANSPORT,1,교통카드 실전 (티머니 구매/충전/잔액부족),7,20
TRANSPORT,2,지하철 마스터 (환승 꿀팁/반대 방향/출구),7,20
TRANSPORT,3,버스 정복 (승하차 태그/벨/음료반입금지),7,20
TRANSPORT,4,택시와 호출앱 (카카오T/자동결제/호출),7,20
