GREETINGS,1,안녕,Hi / Bye,annyeong
GREETINGS,1,네,Yes,ne
GREETINGS,1,아니요,No,aniyo
GREETINGS,1,고마워,Thanks,gomawo
GREETINGS,1,미안해,Sorry,mianhae
GREETINGS,1,응,Yeah,eung
GREETINGS,1,아니,Nah,ani
GREETINGS,1,잘 자,Good night,jal ja
GREETINGS,1,안녕하세요,Hello,annyeonghaseyo
GREETINGS,1,감사합니다,Thank you,gamsahamnida
GREETINGS,1,괜찮아요,It's okay,gwaenchanayo
GREETINGS,1,알았어,I got it,arasseo
GREETINGS,1,몰라,I don't know,molla
GREETINGS,1,좋아,Good / I like it,joa
GREETINGS,1,싫어,I don't like it,sileo
GREETINGS,1,진짜?,Really?,jinjja
GREETINGS,1,대박,Awesome,daebak
GREETINGS,1,헐,OMG,heol
GREETINGS,1,어,Huh?,eo
GREETINGS,1,왜?,Why?,wae

GREETINGS,2,반갑습니다,Nice to meet you,bangapseumnida
GREETINGS,2,잘 가,Bye (casual),jal ga
GREETINGS,2,잘 가요,Go well,jal gayo
GREETINGS,2,다음에 봐,See you later,daeume bwa
GREETINGS,2,내일 봐,See you tomorrow,naeil bwa
GREETINGS,2,이따 봐,See you soon,itta bwa
GREETINGS,2,뭐 해?,What are you doing?,mwo hae
GREETINGS,2,어디 가?,Where are you going?,eodi ga
GREETINGS,2,좋은 아침,Good morning,joeun achim
GREETINGS,2,좋은 밤,Good night (formal),joeun bam
GREETINGS,2,잘 지내?,How are you?,jal jinae
GREETINGS,2,나도,Me too,nado
GREETINGS,2,정말?,Really? (polite),jeongmal
GREETINGS,2,당연하지,Of course,dangyeonhaji
GREETINGS,2,맞아,Right / Correct,maja
GREETINGS,2,그래,Yeah / That's right,geurae
GREETINGS,2,알겠어,I understand,algesseo
GREETINGS,2,괜찮아,It's fine,gwaenchana
GREETINGS,2,고마워요,Thank you (polite),gomawoyo
GREETINGS,2,미안해요,Sorry (polite),mianhaeyo

GREETINGS,3,저기요,Excuse me (calling),jeogiyo
GREETINGS,3,잠시만요,Just a moment,jamsimanyo
GREETINGS,3,죄송합니다,I'm sorry (formal),joesonghamnida
GREETINGS,3,부탁합니다,Please,butakamnida
GREETINGS,3,어서 오세요,Welcome,eoseo oseyo
GREETINGS,3,들어오세요,Please come in,deureooseyo
GREETINGS,3,앉으세요,Please sit,anjeuseyo
GREETINGS,3,이름이 뭐예요?,What's your name?,ireumi mwoyeyo
GREETINGS,3,몇 살이에요?,How old are you?,myeot sarieyo
GREETINGS,3,어디 살아요?,Where do you live?,eodi sarayo
GREETINGS,3,만나서 반가워요,Nice to meet you,mannaseo bangawoyo
GREETINGS,3,오랜만이에요,Long time no see,oraenmanieyo
GREETINGS,3,잘 지냈어요?,How have you been?,jal jinaesseoyo
GREETINGS,3,별일 없어요,Nothing special,byeoril eopseoyo
GREETINGS,3,연락할게요,I'll contact you,yeollakalgeyo
GREETINGS,3,조심히 가요,Go safely,josimhi gayo
GREETINGS,3,좋아해요,I like it,joahaeyo
GREETINGS,3,싫어해요,I dislike it,sileoehaeyo
GREETINGS,3,몰라요,I don't know (polite),mollayo
GREETINGS,3,알아요,I know,arayo

GREETINGS,4,안녕히 가세요,Goodbye (to leaving),annyeonghi gaseyo
GREETINGS,4,안녕히 계세요,Goodbye (to staying),annyeonghi gyeseyo
GREETINGS,4,다음에 뵙겠습니다,See you next time,daeume boepgetseumnida
GREETINGS,4,수고하세요,Good job (greeting),sugohaseyo
